"taxon","diff_InmunosuprimidoNo","diff_InmunosuprimidoSí","p_InmunosuprimidoNo","p_InmunosuprimidoSí","q_InmunosuprimidoNo","q_InmunosuprimidoSí","lfc_InmunosuprimidoNo","lfc_InmunosuprimidoSí"
"Unassigned",FALSE,FALSE,0.319360660592585,0.155808440371717,0.43108756383802,0.338396456432322,-0.263891175862442,-0.797811278568478
"Bacteria",FALSE,FALSE,0.293022757873709,0.111265103800213,0.407470701204019,0.271330691723327,-0.257774239068328,-0.910515325584682
"Bacteria|Actinobacteriota|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces",TRUE,FALSE,0.000924883897574349,0.948288137296226,0.00514235447051338,1,-0.949800702069403,0.0406970926972439
"Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Alloscardovia",FALSE,FALSE,0.0990650792399829,0.668615780205711,0.188630767319967,0.880176924421956,0.42462947614427,0.271880622255792
"Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium",TRUE,FALSE,0.0135530037480975,0.0826787593245984,0.0392472400205323,0.222454783341181,0.877097278412566,-1.21063339019469
"Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia",FALSE,FALSE,0.0634499952507495,0.866944966653199,0.133629535452336,1,-0.441382843716286,0.128422189564957
"Bacteria|Actinobacteriota|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium",TRUE,FALSE,5.55002391559287e-06,0.190621328764196,8.33775045885699e-05,0.374522997571485,-1.34869142267196,0.895898818344053
"Bacteria|Actinobacteriota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia",FALSE,FALSE,0.149185763689828,0.680603212003611,0.241125827359141,0.880176924421956,0.348093737723564,0.266286965741908
"Bacteria|Actinobacteriota|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium",TRUE,TRUE,3.90676058121899e-05,5.26812042886725e-05,0.000362026480526293,0.000665698854193226,-1.11098093483342,-2.81577527779227
"Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Atopobium",TRUE,FALSE,1.00004176831351e-07,0.364431272573468,3.47514514488946e-06,0.610312613104964,-1.47462209185348,0.615649247499452
"Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella",TRUE,TRUE,1.48599625551577e-07,0.00176605139338991,4.13106959033383e-06,0.0116895782705332,-1.43358346991708,-1.92440395461253
"Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella",FALSE,FALSE,0.904672450295184,0.197387157542241,0.911228047761091,0.381066873588493,0.0362954571638986,-1.02190149274382
