"taxon","diff_VMNI.durante.el.ingresoNo","diff_VMNI.durante.el.ingresoSí","p_VMNI.durante.el.ingresoNo","p_VMNI.durante.el.ingresoSí","q_VMNI.durante.el.ingresoNo","q_VMNI.durante.el.ingresoSí","lfc_VMNI.durante.el.ingresoNo","lfc_VMNI.durante.el.ingresoSí"
"Unassigned",FALSE,FALSE,0.837007156915606,0.474194901206196,0.87476687828022,0.63993292492875,-0.0497540944337444,-0.356421877567472
"Bacteria",FALSE,TRUE,0.0919037407510133,0.0073785884596716,0.193554847945316,0.0244196141879608,0.377802692171197,-1.1920006095722
"Bacteria|Actinobacteriota|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces",FALSE,FALSE,0.282202461305643,0.0472002419279269,0.421786474424563,0.111146765264242,-0.277361575993781,-1.05448474717719
"Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Alloscardovia",TRUE,TRUE,4.79750335850357e-05,0.00299824811368499,0.000350975245701051,0.012628984478855,1.08870981638385,-1.43834209119209
"Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium",TRUE,FALSE,0.00722246344227205,0.243265448603591,0.0233470329878097,0.407396353685531,0.937551929365204,0.628646516009224
"Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia",FALSE,FALSE,0.270633117835021,0.135384668536052,0.408891341076825,0.250912919020149,0.244881968717938,-0.791258744781152
"Bacteria|Actinobacteriota|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium",FALSE,FALSE,0.0265955447103393,0.331956517285206,0.067353345947769,0.518448942726332,-0.586402547672851,-0.502592009155174
"Bacteria|Actinobacteriota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia",FALSE,FALSE,0.106403830584275,0.610872961009466,0.208311724664988,0.722033441803385,0.35695744610669,0.252708185061622
"Bacteria|Actinobacteriota|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium",TRUE,TRUE,0.00175358583758156,0.000345371094006831,0.00658779544388749,0.0028239165921735,-0.699272010237019,-1.89810576023647
"Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Atopobium",TRUE,TRUE,0.00111928185070547,0.00190801232355131,0.00444514792137313,0.00855528106366553,-0.769173383128831,-1.52521237928331
