"Variable","adonis2_F","adonis2_R2","adonis2_p","Betadisper_F","Betadisper_p","ANOSIM_R","ANOSIM_p","adonis2_p_FDR","Betadisper_p_FDR","ANOSIM_p_FDR"
"Batch",2.84705565325517,0.0775675745228062,0.001,8.60862814784403,0.001,0.0209036958661537,0.186,0.00214285714285714,0.003,0.2376
"Sexo",2.80703320179965,0.0226726473384135,0.001,3.61374061976523,0.022,0.0775082121309649,0.001,0.00214285714285714,0.055,0.003
"Foco",1.64386432754389,0.065639403969136,0.002,17.4346766988299,0.001,-0.0100659780262978,0.543,0.003,0.003,0.543
"Inmunosuprimido",2.96791992943361,0.023941031930866,0.001,1.98265183437665,0.147,NA,NA,0.00214285714285714,0.315,NA
"Paciente (NHC)",4.25153087382909,0.765570164052786,0.001,5.63062781490161,0.001,0.706101288005662,0.001,0.00214285714285714,0.003,0.003
"Mortalidad UCI",1.67221866188664,0.0203915298562237,0.014,8.14776304094636,0.001,0.0208957093572134,0.198,0.0190909090909091,0.003,0.2376
"Mortalidad hospitalaria",2.17762812391083,0.0263919858095369,0.002,10.545670394921,0.001,0.0236467219961696,0.194,0.003,0.003,0.2376
"Traqueostomía",3.47549674641341,0.027921131766952,0.001,0.470335224365946,0.636,NA,NA,0.00214285714285714,0.795,NA
"Ventilación mecánica",1.3955827698591,0.0114022315044099,0.106,0.702391233571941,0.479,NA,NA,0.106,0.653181818181818,NA
"GNAF",2.58331891625018,0.0209034596165915,0.002,1.00560275699447,0.38,NA,NA,0.003,0.57,NA
"VMNI",3.59739497856543,0.0288721524168647,0.001,0.978030393389728,0.37,NA,NA,0.00214285714285714,0.57,NA
"Riesgo RZ",3.6766203583029,0.0294892526580911,0.001,0.245825434635548,0.778,NA,NA,0.00214285714285714,0.845,NA
"Microorganismo",1.4050498937002,0.0114786922183389,0.106,1.0705181532766,0.336,NA,NA,0.106,0.57,NA
"Ingreso séptico",1.52761126214528,0.0124674858704051,0.075,0.190651508922622,0.839,NA,NA,0.0865384615384615,0.845,NA
"SAPS II",1.87624742298915,0.0187857220450323,0.036,0.256222316368527,0.845,NA,NA,0.045,0.845,NA
