"Variable","adonis2_F","adonis2_R2","adonis2_p","Betadisper_F","Betadisper_p","ANOSIM_R","ANOSIM_p","adonis2_p_FDR","Betadisper_p_FDR","ANOSIM_p_FDR"
"Batch",2.84705565325517,0.0775675745228062,0.001,8.60862814784403,0.001,0.0209036958661537,0.169,0.00214285714285714,0.003,0.338
"Sexo",2.80703320179965,0.0226726473384135,0.001,3.61374061976523,0.029,0.0775082121309649,0.002,0.00214285714285714,0.0725,0.014
"Foco",1.64386432754389,0.065639403969136,0.002,17.4346766988299,0.001,-0.0100659780262978,0.589,0.003,0.003,0.596
"Inmunosuprimido",2.96791992943361,0.023941031930866,0.001,1.98265183437665,0.142,0.0201204789405678,0.14,0.00214285714285714,0.304285714285714,0.338
"Paciente (NHC)",4.25153087382909,0.765570164052786,0.001,5.63062781490161,0.001,0.706101288005662,0.001,0.00214285714285714,0.003,0.014
"Mortalidad UCI",1.67221866188664,0.0203915298562237,0.013,8.14776304094636,0.001,0.0208957093572134,0.205,0.0177272727272727,0.003,0.35875
"Mortalidad hospitalaria",2.17762812391083,0.0263919858095369,0.002,10.545670394921,0.001,0.0236467219961696,0.245,0.003,0.003,0.381111111111111
"Traqueostomía",3.47549674641341,0.027921131766952,0.002,0.470335224365946,0.673,0.0292701608491082,0.167,0.003,0.84125,0.338
"Ventilación mecánica",1.3955827698591,0.0114022315044099,0.116,0.702391233571941,0.492,0.00213688618142917,0.428,0.116,0.670909090909091,0.525
"GNAF",2.58331891625018,0.0209034596165915,0.001,1.00560275699447,0.348,0.00771109834403545,0.333,0.00214285714285714,0.58,0.4662
"VMNI",3.59739497856543,0.0288721524168647,0.001,0.978030393389728,0.391,0.0524809139646022,0.038,0.00214285714285714,0.5865,0.14
"Riesgo RZ",3.6766203583029,0.0294892526580911,0.001,0.245825434635548,0.814,0.0338946109196091,0.04,0.00214285714285714,0.851,0.14
"Microorganismo",1.4050498937002,0.0114786922183389,0.105,1.0705181532766,0.343,-0.00912234921141451,0.596,0.1125,0.58,0.596
"Ingreso séptico",1.52761126214528,0.0124674858704051,0.063,0.190651508922622,0.83,0.00155662771787658,0.45,0.0726923076923077,0.851,0.525
"SAPS II",1.87624742298915,0.0187857220450323,0.04,0.256222316368527,0.851,NA,NA,0.05,0.851,NA
