Taxon	n_total	n_traqueo	beta	se	p_value	p_value_adj	sig
Enterococcus	131	47	0.19783730883067896	0.09658379059588092	0.045589690883602645	0.3390459444353161	**
Bifidobacterium	99	37	0.019107357228620628	0.01018813270267586	0.06780918888706322	0.3390459444353161	*
Parabacteroides	128	43	-0.03741797476743217	0.025831584791226717	0.15396867657960006	0.5132289219320002	
Bacteroides	149	50	-0.06705249502958396	0.06354875479826311	0.2960042187986254	0.609653746698643	
Prevotella_9	36	25	0.1365031318159095	0.1300827850248237	0.3048268733493215	0.609653746698643	
Lachnoclostridium	92	33	0.029742829499714032	0.03522996505177988	0.40453183002693605	0.6742197167115601	
Clostridium_innocuum_group	108	40	-0.025097055649740612	0.04220985955134991	0.5553927599538089	0.7546254126180014	
Staphylococcus	117	38	-0.016044159197944087	0.030675622109970824	0.6037003300944012	0.7546254126180014	
Streptococcus	117	37	-0.012484013353655165	0.0419863212199543	0.7677032048048212	0.8530035608942459	
Alistipes	131	48	-0.0046338051398218125	0.04766284136648772	0.9229180146547747	0.9229180146547747	
