Taxon	n_total	n_vmni	beta	se	p_value	p_value_adj	sig
Clostridium_innocuum_group	42	6	0.1239	0.0304	2e-4	0.0022	***
Prevotella_9	27	8	0.1774	0.0574	0.0052	0.0258	***
Enterococcus	52	10	-0.2014	0.086	0.0233	0.0775	**
Bacteroides	55	11	-0.0995	0.0531	0.0666	0.1666	*
Alistipes	55	11	0.0427	0.0418	0.3115	0.5272	
Lachnoclostridium	36	11	0.0243	0.0265	0.3658	0.5272	
Parabacteroides	48	11	-0.0216	0.0238	0.3691	0.5272	
Bifidobacterium	43	11	-0.004	0.0095	0.6765	0.7618	
Streptococcus	44	11	0.0114	0.0299	0.7052	0.7618	
Staphylococcus	43	11	0.0067	0.022	0.7618	0.7618	
